ImageURL,Name,URL,
https://cdn.myanimelist.net/images/anime/10/75764.jpg,Akagami no Shinrayuki,,Allie
https://cdn.myanimelist.net/images/anime/4/79468.jpg,"Haven't You Heard, I'm Sakamoto",,
https://cdn.myanimelist.net/images/anime/11/63363.jpg,Kanojo ga Flag,,
https://cdn.myanimelist.net/images/anime/1573/146854.jpg,My Bride is a Mermaid,,
https://cdn.myanimelist.net/images/anime/8/76691.jpg,Nijiro Days,,
https://cdn.myanimelist.net/images/anime/13/75587.jpg,Nisekoi,,
https://cdn.myanimelist.net/images/anime/2/43361.jpg,The World God Only Knows,,
https://cdn.myanimelist.net/images/anime/11/39717.jpg,SAO,,Zyun
https://cdn.myanimelist.net/images/anime/1993/93837.jpg,SAO Alicization S2,,Zyun
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx106051-GanZefWWhRLa.jpg,Senryuu Girl,,Nancy
https://cdn.myanimelist.net/images/anime/1952/116031.jpg,"Cider no You ni Kotoba ga Wakiagaru [Jun 25, 2021]",,Mutti
https://cdn.myanimelist.net/images/anime/1795/95088.jpg,Violet Evergarden,,Mutti
https://cdn.myanimelist.net/images/anime/2/75279.jpg,Minami-Ke,,
