ImageURL,Name,URL
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx184237-OJAksU2fsIPx.jpg,Sakamoto Days Part 2,https://hianime.to/sakamoto-days-part-2-19787
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx182309-IfrR8sgHIczv.jpg,Grand Blue Dreaming Season 2,https://hianime.to/grand-blue-dreaming-season-2-19786
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179828-Yc1b1R2dxQyc.jpg,Couple of Cuckoos 2,https://hianime.to/a-couple-of-cuckoos-season-2-19778
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179344-GQzJfehpQI72.png,Rent-a-Girlfriend Season 4,https://hianime.to/rent-a-girlfriend-season-4-19782
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx180460-rZn4pp9YNqW0.jpg,Detectives These Days Are Crazy!,https://hianime.to/detectives-these-days-are-crazy-19756?ref=search
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179678-1isykDVghv8Q.png,Hell Teacher: Jigoku Sensei Nube,https://hianime.to/hell-teacher-jigoku-sensei-nube-19758
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178090-1OOScJqXLjRd.png,7th Prince Season 2,https://hianime.to/i-was-reincarnated-as-the-7th-prince-so-i-can-take-my-time-perfecting-my-magical-ability-season-2-19781
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx169440-MhlOxaIyASRu.jpg,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",https://hianime.to/reborn-as-a-vending-machine-i-now-wander-the-dungeon-season-2-19776
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx112273-3cy5lU5UhYz4.jpg,Welcome to the Outcast's Restaurant!,https://hianime.to/welcome-to-the-outcasts-restaurant-19751
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx185660-uB8RUMBGovGr.jpg,Dan Da Dan Season 2,https://hianime.to/dan-da-dan-season-2-19793
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx110853-ga9CNSLDHxtS.jpg,Solo Camping for Two,https://hianime.to/solo-camping-for-two-19752
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186052-zq8h0Qo0O0sP.jpg,The Water Magician,https://hianime.to/the-water-magician-19770
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx85703-xm8ZYtoRieS0.jpg,Watari-kun's ****** Is about to Collapse,https://hianime.to/watari-kuns-is-about-to-collapse-19769
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx136834-ZObWXGHK2Kiz.png,Secrets of the Silent Witch,https://hianime.to/secrets-of-the-silent-witch-19777
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179879-569v3MdQeVmt.jpg,Betrothed to My Sister's Ex,https://hianime.to/betrothed-to-my-sisters-ex-19766
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx156395-LW98bhT54IuM.png,Busu ni Hanataba wo,https://hianime.to/a-bouquet-for-an-ugly-girl-19767
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx181444-Ut9DDUZdfHwg.jpg,The Fragrant Flower Blooms with Dignity,https://hianime.to/the-fragrant-flower-blooms-with-dignity-19789
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154768-DHHvNd4MjV1p.jpg,My Dress-Up Darling Season 2,https://hianime.to/my-dress-up-darling-season-2-19794
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178754-Dgrub8xgC03M.jpg,Kaiju No. 8 Season 2,https://hianime.to/kaiju-no-8-season-2-19792
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx117080-ebaqOdRptZTU.jpg,Private Tutor to the Duke's Daughter,https://hianime.to/private-tutor-to-the-dukes-daughter-19754
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx171046-9leqLiNuOqNu.png,Rascal Does Not Dream of Santa Claus,https://hianime.to/rascal-does-not-dream-of-santa-claus-19788
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186561-9qIZCSTYkAfw.jpg,The Stunned Hero and the Assassin Princesses,https://hianime.to/the-stunned-hero-and-the-assassin-princesses-19753
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx180425-e5yNWog1hDuu.jpg,With You and the Rain,https://hianime.to/with-you-and-the-rain-19762
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179885-m1nu1QvnRmII.jpg,Scooped Up by an S-Rank Adventurer!,https://hianime.to/scooped-up-by-an-s-rank-adventurer-19764
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx184034-gjIi5TIHJpZv.jpg,Hotel Inhumans,https://hianime.to/hotel-inhumans-19745
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx115909-F3DtjCFcRUdG.jpg,"Uglymug, Epicfighter",https://hianime.to/uglymug-epicfighter-19747
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx175124-eDYbn0W5F4to.jpg,Nyaight of the Living Cat,https://hianime.to/nyaight-of-the-living-cat-19757
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx180929-ytdzqbrOhots.jpg,Ruri Rocks,https://hianime.to/ruri-rocks-19763
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx132349-5oeOm8Dy2mGw.jpg,Dekin no Mogura: The Earthbound Mole,https://hianime.to/dekin-no-mogura-the-earthbound-mole-19755
