ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx94846-qN2CTFtRRo4h.jpg,The Saga of Tanya the Evil,https://allmanga.to/bangumi/jPfs6BXofEFqzBqBX,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx147275-aGF4WhPcFQCQ.jpg,Livid Lady,https://youtu-chan.com/archives/18644,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx145064-hSNRJM03pvv1.jpg,Jujutsu Kaisen Season 2,https://allmanga.to/bangumi/LYKSutL2PaAjYyXWz,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx172463-LnXqHzt74SJL.jpg,Jujutsu Kaisen: Shimetsu Kaiyuu,https://youtu-chan.com/archives/18623,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx103303-IF43hFJPPv2Y.png,Sparks of Tomorrow,https://youtu-chan.com/archives/18607,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx147149-9DQ4upJAV2kQ.jpg,Smoking Behind the Supermarket with You,https://youtu-chan.com/archives/18608,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx185875-XMvDVlIUZODx.jpg,Gun Blaze Vengeance,https://youtu-chan.com/archives/18609,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx114036-LMFi9kfcCguW.jpg,I Became a Legend After My 10 Year-Long Last Stand,https://youtu-chan.com/archives/18610,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx181168-VpgDX9LsGqeo.jpg,Love Unseen Beneath the Clear Night Sky,https://youtu-chan.com/archives/18620,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx117345-NRvzyGbjiyoD.png,Uchi no Otouto-domo ga Sumimasen,https://youtu-chan.com/archives/18651,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx163495-tCWQW0kSvfjO.jpg,Kill Ao,https://youtu-chan.com/archives/18655,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx138239-N3ekxBzcRBhn.png,Hanaori-san Still Wants to Fight in the Next Life,https://youtu-chan.com/archives/18666,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx182300-IYkq5KrkQq1V.jpg,Tsue to Tsurugi no Wistoria Season 2,,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx934-wjMlVEl4CWwg.jpg,When They Cry,https://aniwatchtv.to/when-they-cry-568,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186052-zq8h0Qo0O0sP.jpg,The Water Magician,https://hianime.to/watch/the-water-magician-19770?ep=144267,Watchlist
,Squatters E6 7,https://stigstream.ru/tv/watch/294242/1/7,Watchlist
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx136332-T9q3aH6gambd.jpg,Rich Girl Caretaker,https://youtu-chan.com/archives/18648,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx196218-UsdTTCrwpDIN.jpg,The Frontier Lord Begins with Zero Subjects,https://youtu-chan.com/archives/18619,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx188139-1qIJfWxym8FX.jpg,Though I Am an Inept Villainess,https://youtu-chan.com/archives/18617,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx209504-yRxHWxKuNGtg.jpg,The Forsaken Saintess and Her Foodie Roadtrip in Another World,https://youtu-chan.com/archives/18614,Watchlist
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx163273-PUzYN3exc9ew.jpg,Victoria of Many Faces,https://youtu-chan.com/archives/18612,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx206249-1AUSry416wGz.png,Recommendations from Iwamoto-Senpai,https://youtu-chan.com/archives/18611,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101789-lJKWws55ao1X.jpg,Wo Shi Jiang Xiaobai I'm Joybo ,,Watchlist
https://myanimelist.net/images/anime/1411/111363.jpg,AFTERLOST,,Watchlist
https://cdn.myanimelist.net/images/anime/4/86828.jpg,Gamers!,,Watchlist
https://myanimelist.net/images/anime/1491/132864.jpg,Spy Classroom,,Watchlist
https://myanimelist.net/images/anime/1303/90909.jpg,Isekai Izakaya: Japanese Food From Another World,,Watchlist
https://cdn.myanimelist.net/images/anime/9/50491.jpg,Allison to Lillia,,Familiar?
https://cdn.myanimelist.net/images/anime/1348/102797.jpg,Ore wo Suki nano wa Omae dake ka yo (Reverse Square Confusion),,Watchlist
https://cdn.myanimelist.net/images/anime/1278/98837.jpg,Sabagebu! -Survival Game Club!-,,Watchlist
https://cdn.myanimelist.net/images/anime/1829/144852.jpg,A Town Where You Live,,Watchlist
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx112273-3cy5lU5UhYz4.jpg,Welcome to the Outcast's Restaurant! ,,Watchlist
