ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx934-wjMlVEl4CWwg.jpg,When They Cry,https://aniwatchtv.to/when-they-cry-568,Watchlist
https://cdn.myanimelist.net/images/anime/1829/144852.jpg,A Town Where You Live,,Watchlist
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101789-lJKWws55ao1X.jpg,Wo Shi Jiang Xiaobai I'm Joybo ,,Watchlist
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx114783-dZ1fQDxIoRQ4.jpg,The Salty Koharu Has a Soft Spot for Me,https://myanimelist.net/anime/63754/Shiotaiou_no_Satou-san_ga_Ore_ni_dake_Amai,Blythe
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186742-v7yfbefc8fuO.png,Toaru Anbu no Item,https://myanimelist.net/anime/61014/Toaru_Anbu_no_Item?q=A%20certain%20dark%20Item&cat=anime,Shanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx172463-LnXqHzt74SJL.jpg,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,https://mkissa.to/anime/nxoR4KxgKwcawZvHr,Marco
https://cdn.myanimelist.net/images/anime/1855/128059.jpg,Golden Kamuy 4th Season,https://mkissa.to/anime/z5ExvzcsKXYF3bvLp?fromSearch=1,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx177937-Tzgg6rAdhCoH.jpg,SPY x FAMILY Season 3,https://www.miruro.to/info/177937/spyfamily-season-3,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx31706-lRncu9VbcBB7.png,STEEL BALL RUN,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run?q=STEEL%20BALL%20RUN&cat=manga,Blanon
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx128364-PdeViMUAOSLF.jpg,FX Fighter Kurumi-chan,https://myanimelist.net/anime/63337/FX_Senshi_Kurumi-chan,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx199426-0nBgTV9BrcJn.jpg,HOTEL INHUMANS 2nd Season,https://myanimelist.net/anime/62590/Hotel_Inhumans_2nd_Season?q=HOTEL%20INHUMANS%202nd%20Season&cat=anime,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx195516-MJpUZlOberqH.jpg,The Apothecary Diaries Season 3,https://myanimelist.net/anime/61987/Kusuriya_no_Hitorigoto_3rd_Season?q=The%20Apothecary%20Diaries%20Season%203&cat=anime,Blanon
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx37738-0Hvc8zLbZp8u.jpg,Horror Collector,https://myanimelist.net/anime/63053/Kyoufu_Collector?q=Horror%20Collector&cat=anime,Y
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx109279-Z65UmAt7lRX9.jpg,Mahou Shoujo Ikusei Keikaku: Restart,https://myanimelist.net/anime/54344/Mahou_Shoujo_Ikusei_Keikaku__Restart?q=Magical%20Girl%20Raising%20Project%20restart&cat=anime,Y
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx205909-DM0fAzNQulod.jpg,Firefly Wedding,https://myanimelist.net/anime/63293/Hotaru_no_Yomeiri?q=Firefly%20Wedding&cat=anime,Y
https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b207191-MV0uJNxN7LNY.jpg,"Hello, I Am a Witch and My Crush Wants Me to Make a Love Potion!",https://myanimelist.net/anime/63409/Doumo_Suki_na_Hito_ni_Horegusuri_wo_Irai_sareta_Majo_desu?q=Hello%2C%20I%20Am%20a%20Witch%20and%20My%20Crush%20Wants%20Me%20to%20Make%20a%20Love%20Potion!&cat=anime,Y
