ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx85793-PvROauRZl0VB.png,Kakegurui: Compulsive Gambler,https://hianimez.to/kakegurui-compulsive-gambler-1677,Blythe
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx21665-QnenQOaxzhpf.jpg,B: The Beginning,https://hianime.to/b-the-beginning-1899,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179696-1MAqXYVXT7IT.jpg,Can You Keep a Secret?,https://hianime.to/watch/can-you-keep-a-secret-19443?ep=131409,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx177552-7XiOf3dGXmNs.jpg,Medaka Kuroiwa is Impervious to My Charms,https://hianime.to/watch/medaka-kuroiwa-is-impervious-to-my-charms-19442?ep=131413,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx136853-z5ksvlaMv2cE.jpg,"I'm a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic",https://hianime.to/im-a-noble-on-the-brink-of-ruin-so-i-might-as-well-try-mastering-magic-19458,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx118606-uyelrdh6D9qm.jpg,Headhunted to Another World: From Salaryman to Big Four!,https://hianime.to/headhunted-to-another-world-from-salaryman-to-big-four-19454?ref=search,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx206611-mUgYGyHxPzrk.jpg,SumPock,https://hianime.to/sumpock-19559,inc
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx113021-GLN8QoT44roV.jpg,Zatsu Tabi: That's Journey,https://hianime.to/zatsu-tabi-thats-journey-19568,inc
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179979-OiIKSkhJRmvo.jpg,Aharen-san wa Hakarenai Season 2,https://hianime.to/aharen-san-wa-hakarenai-season-2-19545,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178550-1mjYHtOwiqkC.jpg,Unnamed Memory Season 2,https://hianime.to/watch/unnamed-memory-season-2-19440?ep=131525,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx144374-9uv6mobZCmiK.png,The Children of Shiunji Family,https://hianime.to/the-children-of-shiunji-family-19556,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178701-OA537qbje5AU.jpg,Once Upon a Witch's Death,https://hianime.to/once-upon-a-witchs-death-19563,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx184279-dw02k4DPxwGz.png,The Catcher in the Ballpark!,https://hianime.to/the-catcher-in-the-ballpark-19597,
