ImageURL,Name,URL,
https://myanimelist.net/images/anime/1059/142414.jpg,Spice and Wolf: Merchant Meets the Wise Wolf,,dub
https://myanimelist.net/images/anime/1074/147339.jpg,I've Been Killing Slimes for 300 Years and Maxed Out My Level Season 2,,dub
https://myanimelist.net/images/anime/1409/112177.jpg,B: The Beginning 2,,
https://myanimelist.net/images/anime/1937/138379.jpg,Rascal Does Not Dream of a Knapsack Kid,,
https://myanimelist.net/images/anime/1540/134808.jpg,Rascal Does Not Dream of a Sister Venturing Out,,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154768-DHHvNd4MjV1p.jpg,Sono Bisque Doll wa Koi wo Suru Season 2,https://myanimelist.net/anime/53065/Sono_Bisque_Doll_wa_Koi_wo_Suru_Season_2?q=My%20Dress-Up%20Darling%20Season%202&cat=anime,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx195516-FWHIFQMvCjVj.jpg,The Apothecary Diaries Season 3,https://myanimelist.net/anime/61987/Kusuriya_no_Hitorigoto_3rd_Season,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx142343-o8gkjIF434qZ.jpg,Golden Kamuy 4th Season,https://myanimelist.net/anime/50528/Golden_Kamuy_4th_Season?q=golden%20kamu&cat=anime,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b166521-yvCHzltGGU2X.jpg,Golden Kamuy Final Season,https://myanimelist.net/anime/55772/Golden_Kamuy__Saishuushou,
https://cdn.myanimelist.net/images/anime/1020/137374.jpg,You At First Sight - Chapter 77,,manga
https://cdn.myanimelist.net/images/anime/1714/108892.jpg,Josee to Tora to Sakana-tachi,,peli
https://cdn.myanimelist.net/images/anime/1147/112650.jpg,Hello World,,peli
https://cdn.myanimelist.net/images/anime/1462/125397.jpg,The Tunnel of Summer / Exit of G,,peli
https://cdn.myanimelist.net/images/anime/1332/127596.jpg,To Me the One Who Loved You / To Every You I've Loved Before,,peli
https://cdn.myanimelist.net/images/anime/1045/106389.jpg,^^^^Whisker Away,,peli
https://cdn.myanimelist.net/images/anime/3/82121.jpg,I've Always Liked You [Movie],,peli
https://cdn.myanimelist.net/images/anime/1776/111172.jpg,Super Cub (Bike Goes Vroom),,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155908-2ZOxqbagDxNv.jpg,Yuru Camp△ Season 3,https://myanimelist.net/anime/53410/Yuru_Camp%E2%96%B3_Season_3?q=yuru%20camp&cat=anime,
https://cdn.myanimelist.net/images/anime/1987/117507.jpg,86,,
https://cdn.myanimelist.net/images/anime/4/75789.jpg,Canaan (Photographer AK one),,
https://cdn.myanimelist.net/images/anime/1651/117943.jpg,Summer Ghost,,peli
https://cdn.myanimelist.net/images/anime/11/89556.jpg,Maquia: When the Promised Flower Blooms,,peli
https://cdn.myanimelist.net/images/anime/1483/107061.jpg,Doom at Your Service,,live action
https://cdn.myanimelist.net/images/anime/1810/137073.jpg,The Most Beautiful You in the World,,live action
