ImageURL,Name,URL,
https://cdn.myanimelist.net/images/anime/10/77957.jpg,Boku Dake ga Inai Machi [Erased],,TOP 20
https://cdn.myanimelist.net/images/anime/1402/134007.jpg,Kimi wa Houkago Insomnia,,TOP 20
https://cdn.myanimelist.net/images/anime/4/75543.jpg,Coppelion,,TOP 20
https://cdn.myanimelist.net/images/anime/1222/108880.jpg,His and Her Circumstances (1998),,TOP 20
https://cdn.myanimelist.net/images/anime/1446/91841.jpg,Tada Kun wa Ki wo Shinai,,TOP 20
https://cdn.myanimelist.net/images/anime/1252/96179.jpg,The Magnificent Kotobuki,,TOP 20
https://cdn.myanimelist.net/images/anime/13/50521.jpg,Hyouka,,TOP 20
https://cdn.myanimelist.net/images/anime/11/82287.jpg,WWWorking!,,TOP 20
https://cdn.myanimelist.net/images/anime/4/89877.jpg,Yuru Camp,,TOP 20
https://cdn.myanimelist.net/images/anime/2/85592.jpg,Tsuki Ga Kirei,,TOP 20
https://cdn.myanimelist.net/images/anime/1935/109014.jpg,A Day Before Us,,TOP 20
https://cdn.myanimelist.net/images/anime/1145/90880.jpg,Golden Kamuy,,TOP 20
https://cdn.myanimelist.net/images/anime/1491/117229.jpg,Hanasaku Iroha,,TOP 20
https://cdn.myanimelist.net/images/anime/1643/115475.jpg,Hatsukoi Limited,,TOP 20
https://cdn.myanimelist.net/images/anime/9/75230.jpg,Daitoshoken no Hitsujikai (Shepherd),,TOP 20
https://cdn.myanimelist.net/images/anime/1751/98216.jpg,Senryuu Girl,,TOP 20
https://cdn.myanimelist.net/images/anime/1695/111486.jpg,Horimiya,,TOP 20
https://cdn.myanimelist.net/images/anime/1146/113477.jpg,Hige wo Soru. Soshite Joshikousei wo Hirou,,TOP 20
https://cdn.myanimelist.net/images/anime/1896/129202.jpg,Please Take My Brother Away!,,TOP 20
https://cdn.myanimelist.net/images/anime/1297/118764.jpg,Genjitsu Shugi Yuusha no Oukoku Saikenki,,TOP 20
https://cdn.myanimelist.net/images/anime/5/86830.jpg,Classroom of the Elite,,TOP 20
,,,
,,,
,,,
,,,
,,,
https://cdn.myanimelist.net/images/anime/13/87286.jpg,Uchiage Hanabi,,Peliculas Top
https://cdn.myanimelist.net/images/anime/5/87048.jpg,Kimi no Na wa,,Peliculas Top
https://cdn.myanimelist.net/images/anime/1768/93291.jpg,I Want to Eat Your Pancreas,,Peliculas Top
https://cdn.myanimelist.net/images/anime/1405/143284.jpg,Your Lie In April (Watch Together),,Peliculas Top
https://cdn.myanimelist.net/images/anime/1880/101146.jpg,Weathering With You (Watch Together),,Peliculas Top
https://cdn.myanimelist.net/images/anime/1887/103944.jpg,Bokura no Nanokakan Sensou,,Peliculas Top
https://cdn.myanimelist.net/images/anime/1233/117186.jpg,Hakubo,,Peliculas Top
https://cdn.myanimelist.net/images/anime/1418/108748.jpg,"Omoi, Omoware, Furi, Furare",,Peliculas Top
https://cdn.myanimelist.net/images/anime/1122/96435.jpg,Koe No Katachi,,Peliculas Top
,,,
,,,
,,,
,,,
,,,
https://cdn.myanimelist.net/images/anime/1298/134178.jpg,Loving Yamada at Lv999,,Honorable Mentions
https://cdn.myanimelist.net/images/anime/5/83937.jpg,Kuzu no Honkai,,Honorable Mentions
https://cdn.myanimelist.net/images/anime/1150/140028.jpg,Villainess Level 99,,Honorable Mentions
https://cdn.myanimelist.net/images/anime/4/42015.jpg,"Love, Election and Chocolate",,Honorable Mentions
https://cdn.myanimelist.net/images/anime/1310/117188.jpg,In/Spectre,,Honorable Mentions
https://cdn.myanimelist.net/images/anime/1890/131473.jpg,"Saving 80,000 Gold in Another World for My Retirement",,Honorable Mentions
https://cdn.myanimelist.net/images/anime/1708/138033.jpg,The Apothecary Diaries,,Honorable Mentions
,,,
,,,
,,,
,,,
,,,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx111140-8DFuajKhr81o.png,Xiehou ta de Shaonu Shidai,https://hianime.to/mom-im-sorry-19166,GOLD LABEL
