ImageURL,Name,URL,
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmedia.senscritique.com%2Fmedia%2F000021428256%2F0%2Fhitori_no_shita_the_outcast_4.jpg&f=1&nofb=1&ipt=7ce278ab2bd519cbbcc60ac3e79df434b0edb1f8e2528388ebf2889f9f9083ff,Hitori No Shita - The Outcast,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FM%2FMV5BMzE0MDNiNDMtZTQ4Ni00MmQ4LTk4YzktZjFkYTVmODEzMDc2XkEyXkFqcGdeQXVyNTE1NjY5Mg%40%40._V1_FMjpg_UX1000_.jpg&f=1&nofb=1&ipt=22cb63971250017eb5c08f1d39368c41c9461e328313ddc8ecb5909082974dbe,Barry,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fstatic0.moviewebimages.com%2Fwordpress%2Fwp-content%2Fuploads%2Fsharedimages%2F2026%2F03%2Fin-the-grey-poster.jpg%3Fq%3D49%26fit%3Dcontain%26w%3D480%26dpr%3D2&f=1&nofb=1&ipt=4a025bff7f05d0687cd8de16f380db8e99f8d6fe14bae78a7ab03d07c56e2e80,In The Grey,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%2Fid%2FOIP.bt84QOZXXtBLzm0oi1ZJVAHaLH%3Fr%3D0%26pid%3DApi&f=1&ipt=da0fe29da834ffd968e5be8210a65bf20d031440e66f437878ac78e9d1b20283&ipo=images,Safe House,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fassets.gadgets360cdn.com%2Fpricee%2Fassets%2Fproduct%2F202409%2FThe_Traitors_Season_2_1_1726468760.jpg&f=1&nofb=1&ipt=fde618ade998d171cebe5a3fb39d77eab007912b92515bd5e6ca0ce2aa617b70,The Traitors,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fprmz.ir%2Fwp-content%2Fuploads%2F2026%2F06%2Fthe-love-lab-2026.jpg&f=1&nofb=1&ipt=4d00a412251069be86a40d5613871426321a285fc9cf2078a3d50448d8e4fc44,Love Lab,https://ww19.myasiantv.es/ep/the-love-lab-2026-episode-1-english-subbed-aa/,dating
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FM%2FMV5BYzMwYmEzYTktY2M4YS00Y2I0LTk3ODMtYTY4NjU3YWJhMzM2XkEyXkFqcGc%40._V1_FMjpg_UX1000_.jpg&f=1&nofb=1&ipt=2ac14d6cd9244dda2534c105456cebbc549ef1f3e7c5d92166d6a19e400a7a6f,Welcome,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimages.justwatch.com%2Fposter%2F312517094%2Fs718%2Ffarmer-wants-a-wife.jpg&f=1&nofb=1&ipt=cc64cdb44576b94005f5a9531d94a07289b7f842e3595ca1b17d33b56982be8e,Farmer Wants a Wife,,dating
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.tennessean.com%2Fgcdn%2Fauthoring%2Fauthoring-images%2F2026%2F07%2F26%2FUSAT%2F91055356007-shark-week-2026-cover-art-square.jpg%3Fcrop%3D2999&f=1&nofb=1&ipt=fce6ec6c9f5018e4ec1b4c7d5fe297507da6445702e29c9d232c6bedeafb3dd4,Shark Week,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimage.tmdb.org%2Ft%2Fp%2Foriginal%2Fjkx5MYVufH4PVeaSsLtobrBdZSU.jpg&f=1&nofb=1&ipt=4751ceb0a887ab1b87c63e982c669bb1d5a2db1abd699d7ef4e68a42a9779d47,Prison Break,,peli
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fnews.dexclub.com%2Fwp-content%2Fuploads%2F2025%2F07%2FSayonara-Lara-Teaser-KV-scaled.jpg&f=1&nofb=1&ipt=97a4e0b11c18c60bc518b49869a50afb45db3718f74824af6d2f279c3f481caf,Sayonara Lara,,Shanon
