ImageURL,Name,URL
https://myanimelist.net/images/anime/1411/111363.jpg,AFTERLOST,https://hianime.to/afterlost-9475
https://myanimelist.net/images/anime/1940/124243.jpg,Rec - MyAnimeList.net,https://myanimelist.net/anime/710/Rec
https://myanimelist.net/images/anime/1491/132864.jpg,Spy Classroom,https://hianime.to/spy-classroom-18250
https://myanimelist.net/images/anime/10/86102.jpg,Four-Panel Heroes ONA episodes,https://hianime.to/four-panel-heroes-18445?ref=search
https://myanimelist.net/images/anime/1002/138524.jpg,Helck,https://hianime.to/helck-18475
https://myanimelist.net/images/anime/1506/117717.jpg,"I'm standing on 1,000,000 lives.",https://hianime.to/im-standing-on-1000000-lives-5739
,Reign of the Seven Spellblades,https://hianime.to/reign-of-the-seven-spellblades-18488
https://myanimelist.net/images/anime/8/22470.jpg,Phantom: Requiem for the Phantom,https://hianime.to/phantom-requiem-for-the-phantom-501
https://myanimelist.net/images/anime/1033/150371.jpg,Leviathan ,https://hianime.to/leviathan-19724
,Alma-chan Wants to Have a Family!,https://hianime.to/alma-chan-wants-to-have-a-family-19888
https://myanimelist.net/images/anime/1599/155164.jpg,A Wild Last Boss Appeared!,https://hianime.to/a-wild-last-boss-appeared-19909
,Skeleton Knight in Another World,https://hianime.to/watch/skeleton-knight-in-another-world-17979?ep=89395
https://myanimelist.net/images/anime/1303/90909.jpg,Isekai Izakaya: Japanese Food From Another World,https://hianime.to/isekai-izakaya-japanese-food-from-another-world-2035
,"Say ""I Love You"".",https://hianime.to/say-i-love-you-1528
https://myanimelist.net/images/anime/1431/146222.jpg,Possibly the Greatest Alchemist of All Time,https://hianime.to/possibly-the-greatest-alchemist-of-all-time-19451
https://myanimelist.net/images/anime/1578/143664.jpg,A Nobody's Way Up to an Exploration Hero LV,https://hianime.to/a-nobodys-way-up-to-an-exploration-hero-lv-19223
