ImageURL,Name,URL
,Kakegurui: Compulsive Gambler,https://hianimez.to/kakegurui-compulsive-gambler-1677
,B: The Beginning,https://hianime.to/b-the-beginning-1899
,Can You Keep a Secret?,https://hianime.to/watch/can-you-keep-a-secret-19443?ep=131409
,Medaka Kuroiwa is Impervious to My Charms,https://hianime.to/watch/medaka-kuroiwa-is-impervious-to-my-charms-19442?ep=131413
,"I'm a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic",https://hianime.to/im-a-noble-on-the-brink-of-ruin-so-i-might-as-well-try-mastering-magic-19458
,Headhunted to Another World: From Salaryman to Big Four!,https://hianime.to/headhunted-to-another-world-from-salaryman-to-big-four-19454?ref=search
,SumPock,https://hianime.to/sumpock-19559
,Zatsu Tabi: That's Journey,https://hianime.to/zatsu-tabi-thats-journey-19568
,Aharen-san wa Hakarenai Season 2,https://hianime.to/aharen-san-wa-hakarenai-season-2-19545
,Unnamed Memory Season 2,https://hianime.to/watch/unnamed-memory-season-2-19440?ep=131525
,The Children of Shiunji Family,https://hianime.to/the-children-of-shiunji-family-19556
,Once Upon a Witch's Death,https://hianime.to/once-upon-a-witchs-death-19563
,The Catcher in the Ballpark!,https://hianime.to/the-catcher-in-the-ballpark-19597
,Apocalypse Hotel,https://hianime.to/apocalypse-hotel-19592
,Ameku M.D.: Doctor Detective,https://hianime.to/watch/ameku-md-doctor-detective-19456?ep=131275
,The Too-Perfect Saint: Tossed Aside by My Fiancé and Sold to Another Kingdom,https://hianime.to/the-too-perfect-saint-tossed-aside-by-my-fiance-and-sold-to-another-kingdom-19566
,Shopper in Another World,https://hianime.to/the-daily-life-of-a-middle-aged-online-shopper-in-another-world-19468
,"Anyway, I'm Falling in Love with You.",https://hianime.to/watch/anyway-im-falling-in-love-with-you-19461?ep=131694
,From Bureaucrat to Villainess: Dad's Been Reincarnated!,https://hianime.to/from-bureaucrat-to-villainess-dads-been-reincarnated-19453?ref=search
,"Even Given the Worthless “Appraiser” Class, I’m Actually the Strongest",https://hianime.to/watch/even-given-the-worthless-appraiser-class-im-actually-the-strongest-19457?ep=131689
,The Brilliant Healer's New Life in the Shadows,https://hianime.to/the-brilliant-healers-new-life-in-the-shadows-19553
,A Ninja and an Assassin Living Together,https://hianimez.to/a-ninja-and-an-assassin-living-together-19594
,The Super Cube ONA episodes,https://hianime.to/the-super-cube-19624
,Tasokare Hotel,https://hianime.to/tasokare-hotel-19472
,"I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time",https://hianime.to/i-may-be-a-guild-receptionist-but-ill-solo-any-boss-to-clock-out-on-time-19441
,The Apothecary Diaries Season 2,https://hianime.to/the-apothecary-diaries-season-2-19429?ref=search
,"Welcome to Japan, Ms. Elf!",https://hianime.to/welcome-to-japan-ms-elf-19449
,"Can a Boy and Girl Friendship Hold Up? (No, It Can't!!) Danjo no Yuujou wa Seiritsu suru?",https://hianime.to/can-a-boy-and-girl-friendship-hold-up-no-it-cant-19549
,About the Movement of the Earth,https://hianime.to/about-the-movement-of-the-earth-19351?ref=search
,Sakamoto Days,https://hianime.to/sakamoto-days-19431
,I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,https://hianime.to/i-left-my-a-rank-party-to-help-my-former-students-reach-the-dungeon-depths-19460?ref=search
,From Old Country Bumpkin to Master Swordsman,https://hianime.to/from-old-country-bumpkin-to-master-swordsman-19551
,Food for the Soul,https://hianimez.to/food-for-the-soul-19603
,Mono: Weekend Animation,https://hianimez.to/mono-weekend-animation-19574
,I'm Getting Married to a Girl I Hate in My Class,https://hianime.to/watch/im-getting-married-to-a-girl-i-hate-in-my-class-19439?ep=131348
,Solo Leveling Season 2: Arise from the Shadow,https://hianime.to/solo-leveling-season-2-arise-from-the-shadow-19413?ref=search
,The 100,https://hianime.to/the-100-girlfriends-who-really-really-really-really-really-love-you-season-2-19435?ref=search
,The Red Ranger Becomes an Adventurer in Another World,https://hianime.to/watch/the-red-ranger-becomes-an-adventurer-in-another-world-19463?ep=131814
,The Unaware Atelier Master,https://hianime.to/the-unaware-atelier-master-19569
,I'm the Evil Lord of an Intergalactic Empire!,https://hianime.to/im-the-evil-lord-of-an-intergalactic-empire-19561
,The Gorilla God's Go-To Girl,https://hianime.to/the-gorilla-gods-go-to-girl-19572
,Witch Watch,https://hianime.to/witch-watch-19552
,Lazarus,https://hianime.to/lazarus-19543
